,Регион,"Региональные органы исполнительной власти (Кол-во структур, ед)","Региональные органы исполнительной власти (Всего кол-во сотрудников, чел)",Региональные органы исполнительной власти (Всего с профильным образованием),"Региональные органы исполнительной власти (Всего объeм финансирования, руб)",Региональные органы исполнительной власти (Расходы на мероприятия),Региональные органы исполнительной власти (Расходы на адм функции),Региональные органы исполнительной власти (Расходы на ремонт),"Бюджетные учреждения (Кол-во структур, ед)","Бюджетные учреждения (Всего кол-во сотрудников, чел)",Бюджетные учреждения (Всего с профильным образованием),"Бюджетные учреждения (Всего объeм финансирования, руб)",Бюджетные учреждения (Расходы на мероприятия),Бюджетные учреждения (Расходы на адм функции),Бюджетные учреждения (Расходы на ремонт),"Муниципальные органы испольнительной власти (Кол-во структур, ед)","Муниципальные органы испольнительной власти (Всего кол-во сотрудников, чел)",Муниципальные органы испольнительной власти (Всего с профильным образованием),"Муниципальные органы испольнительной власти (Всего объeм финансирования, руб)",Муниципальные органы испольнительной власти (Расходы на мероприятия),Муниципальные органы испольнительной власти (Расходы на адм функции),Муниципальные органы испольнительной власти (Расходы на ремонт),"Муниципальные бюджетные учреждения (Кол-во структур, ед)","Муниципальные бюджетные учреждения (Всего кол-во сотрудников, чел)",Муниципальные бюджетные учреждения (Всего с профильным образованием),"Муниципальные бюджетные учреждения (Всего объeм финансирования, руб)",Муниципальные бюджетные учреждения (Расходы на мероприятия),Муниципальные бюджетные учреждения (Расходы на адм функции),Муниципальные бюджетные учреждения (Расходы на ремонт),"Региональные структуры по работе с молодeжью (Кол-во структур, ед)","Региональные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Региональные структуры по работе с молодeжью (Всего с профильным образованием),"Региональные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Региональные структуры по работе с молодeжью (Расходы на мероприятия),Региональные структуры по работе с молодeжью (Расходы на адм функции),Региональные структуры по работе с молодeжью (Расходы на ремонт),"Муниципальные структуры по работе с молодeжью (Кол-во структур, ед)","Муниципальные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Муниципальные структуры по работе с молодeжью (Всего с профильным образованием),"Муниципальные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Муниципальные структуры по работе с молодeжью (Расходы на мероприятия),Муниципальные структуры по работе с молодeжью (Расходы на адм функции),Муниципальные структуры по работе с молодeжью (Расходы на ремонт),Округ
45,Республика Башкортостан,1.0,11.0,3.0,780106534,773495210.0,6611324.0,0.0,3.0,131.0,8.0,666854126,621055503.0,40559132.0,5239491.0,70.0,137.0,43.0,71721208,37430764.0,34290444.0,0.0,65.0,1156.0,235.0,735325464,606923465.0,75321855.0,53080144.0,4.0,142.0,11.0,1446960660,1394550713.0,47170456.0,5239491.0,135.0,1293.0,278.0,807046672,644354229.0,109612299.0,53080144.0,ПФО
46,Республика Бурятия,1.0,7.0,0.0,2954371,2580000.0,374371.0,0.0,1.0,16.0,0.0,26617728,15854728.0,10763000.0,0.0,23.0,32.0,0.0,11038158,11038158.0,0.0,0.0,1.0,1.0,0.0,1143151,0.0,1143151.0,0.0,2.0,23.0,0.0,29572099,18434728.0,11137371.0,0.0,24.0,33.0,0.0,12181309,11038158.0,1143151.0,0.0,ДФО
47,Республика Дагестан,1.0,22.0,20.0,49591146,24519500.0,23866006.0,1205640.0,1.0,41.0,10.0,27816217,19622817.0,8193400.0,0.0,52.0,113.0,0.0,60339600,60339600.0,0.0,0.0,8.0,60.0,0.0,0,0.0,0.0,0.0,2.0,63.0,30.0,77407363,44142317.0,32059406.0,1205640.0,60.0,173.0,0.0,60339600,60339600.0,0.0,0.0,СКФО
48,Республика Ингушетия,1.0,13.0,10.0,11715400,5350000.0,6365400.0,0.0,1.0,33.0,33.0,8394059,0.0,8394059.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,46.0,43.0,20109459,5350000.0,14759459.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,СКФО
49,Республика Калмыкия,1.0,23.0,1.0,3772380,0.0,3772380.0,0.0,1.0,33.0,0.0,11840288,2125705.0,9714583.0,0.0,14.0,14.0,0.0,4110000,750000.0,3360000.0,0.0,3.0,63.0,30.0,8818689,0.0,8818689.0,0.0,2.0,56.0,1.0,15612668,2125705.0,13486963.0,0.0,17.0,77.0,30.0,12928689,750000.0,12178689.0,0.0,ЮФО
50,Республика Карелия,1.0,3.0,3.0,0,0.0,0.0,0.0,1.0,30.0,30.0,14000000,2100000.0,2264000.0,9636000.0,10.0,19.0,5.0,1012745,1011564.0,1181.0,0.0,21.0,94.0,31.0,2926444,754906.0,1836238.0,335300.0,2.0,33.0,33.0,14000000,2100000.0,2264000.0,9636000.0,31.0,113.0,36.0,3939189,1766470.0,1837419.0,335300.0,СЗФО
51,Республика Коми,1.0,3.0,0.0,18800006,13361750.0,5438256.0,0.0,1.0,14.0,0.0,11282462,402709.0,10879753.0,0.0,20.0,46.0,9.0,35018821,18469089.0,16517803.0,31929.0,3.0,34.0,3.0,13633519,400000.0,13233519.0,0.0,2.0,17.0,0.0,30082468,13764459.0,16318009.0,0.0,23.0,80.0,12.0,48652340,18869089.0,29751322.0,31929.0,СЗФО
52,Республика Крым,1.0,22.0,0.0,289106608,265198705.0,23907903.0,0.0,1.0,17.0,0.0,55356899,10863455.0,29693444.0,14800000.0,25.0,70.0,0.0,10005524,3677045.0,6328479.0,0.0,15.0,239.0,1.0,36292178,1388067.0,24527278.0,10376833.0,2.0,39.0,0.0,344463507,276062160.0,53601347.0,14800000.0,40.0,309.0,1.0,46297702,5065112.0,30855757.0,10376833.0,ЮФО
53,Республика Марий Эл,1.0,9.0,9.0,8218940,3566242.0,4652698.0,0.0,2.0,94.0,36.0,72329457,27943247.0,34403707.0,9982503.0,17.0,24.0,21.0,7318276,1858806.0,5459470.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,103.0,45.0,80548397,31509489.0,39056405.0,9982503.0,17.0,24.0,21.0,7318276,1858806.0,5459470.0,0.0,ПФО
54,Республика Мордовия,1.0,8.0,2.0,108508800,101289300.0,7219500.0,0.0,1.0,80.0,30.0,41090030,7977700.0,33112330.0,0.0,19.0,25.0,0.0,1343883,1343883.0,0.0,0.0,2.0,113.0,9.0,18569200,687400.0,17881800.0,0.0,2.0,88.0,32.0,149598830,109267000.0,40331830.0,0.0,21.0,138.0,9.0,19913083,2031283.0,17881800.0,0.0,ПФО
55,Республика Саха (Якутия),1.0,21.0,1.0,94076694,59353972.0,34722722.0,0.0,1.0,113.0,100.0,96841801,12039132.0,84802669.0,0.0,172.0,311.0,24.0,60803058,33593547.0,27095287.0,114224.0,8.0,25.0,5.0,17138519,8595463.0,8543056.0,0.0,2.0,134.0,101.0,190918495,71393104.0,119525391.0,0.0,180.0,336.0,29.0,77941577,42189010.0,35638343.0,114224.0,ДФО
56,Республика Северная Осетия - Алания,1.0,17.0,0.0,16575470,8277270.0,8298200.0,0.0,5.0,207.0,0.0,5705531,2157680.0,3547851.0,0.0,9.0,30.0,0.0,4624221,2238750.0,2385471.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,224.0,0.0,22281001,10434950.0,11846051.0,0.0,9.0,30.0,0.0,4624221,2238750.0,2385471.0,0.0,СКФО
57,Республика Татарстан,1.0,47.0,27.0,742904555,687466745.0,55437810.0,0.0,12.0,466.0,167.0,2569141114,871306564.0,336556000.0,1361278550.0,45.0,112.0,54.0,106750677,17076393.0,88854495.0,819789.0,366.0,3309.0,2449.0,980382674,37076455.0,918524347.0,24781872.0,13.0,513.0,194.0,3312045669,1558773309.0,391993810.0,1361278550.0,411.0,3421.0,2503.0,1087133351,54152848.0,1007378842.0,25601661.0,ПФО
58,Республика Тыва,1.0,7.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19.0,23.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,7.0,2.0,0,0.0,0.0,0.0,19.0,23.0,0.0,0,0.0,0.0,0.0,СФО
59,Республика Хакасия,1.0,1.0,1.0,0,0.0,0.0,0.0,2.0,52.0,3.0,3069353,1476720.0,1213123.0,379510.0,13.0,20.0,13.0,1089237,291384.0,769963.0,27890.0,7.0,87.0,7.0,15336,15336.0,0.0,0.0,3.0,53.0,4.0,3069353,1476720.0,1213123.0,379510.0,20.0,107.0,20.0,1104573,306720.0,769963.0,27890.0,СФО
